,stations_id,stationshoehe,geogr_breite,geogr_laenge,von_datum,bis_datum,stationsname
2895,5397,420.0,49.6837,12.1467,1946-06-26 00:00:00+02:00,1947-05-16 00:00:00+01:00,Weiden
2896,5397,393.2,49.6784,12.1671,1947-05-17 00:00:00+01:00,1950-03-21 00:00:00+01:00,Weiden
2897,5397,396.0,49.677,12.1818,1950-03-22 00:00:00+01:00,1960-06-30 00:00:00+01:00,Weiden
2898,5397,438.0,49.6667,12.1838,1960-07-01 00:00:00+01:00,2006-06-28 00:00:00+02:00,Weiden
2899,5397,439.6,49.6662,12.1844,2006-06-29 00:00:00+02:00,,Weiden
2900,5665,674.0,47.8199,9.7961,1977-10-01 00:00:00+01:00,1981-01-01 00:00:00+01:00,Wolfegg
2901,5665,677.0,47.818,9.797,1989-05-01 00:00:00+02:00,2010-12-31 00:00:00+01:00,Wolfegg
2902,221,483.0,48.5515,11.7117,1985-08-01 00:00:00+02:00,1990-05-31 00:00:00+02:00,Au i.d.Hallertau-Günzenhausen
2903,5642,72.0,53.1833,12.5167,1994-10-01 00:00:00+01:00,2001-09-30 00:00:00+02:00,Wittstock
2904,3204,429.0,50.7335,10.8815,1982-11-01 00:00:00+01:00,,Martinroda
2905,13711,289.0,50.682,11.515,2007-09-01 00:00:00+02:00,,Krölpa-Rockendorf
2906,4927,286.0,48.7693,9.1814,1949-01-01 00:00:00+01:00,1950-12-31 00:00:00+01:00,Stuttgart-Stadt
2907,4927,286.0,48.7693,9.1814,1951-01-01 00:00:00+01:00,1984-07-30 00:00:00+02:00,Stuttgart-Stadt
2908,2923,663.0,47.9116,10.6124,1954-06-19 00:00:00+01:00,1970-05-31 00:00:00+01:00,Leinau
2909,386,439.0,51.0465,8.3857,1969-11-01 00:00:00+01:00,1977-08-25 00:00:00+02:00,"Berleburg, Bad"
2910,386,445.0,51.0454,8.3851,1977-08-26 00:00:00+02:00,1986-11-26 00:00:00+01:00,"Berleburg, Bad"
2911,4401,80.0,51.6337,8.1899,1948-03-01 00:00:00+01:00,1962-10-22 00:00:00+01:00,"Sassendorf, Bad-Ostinghausen"
2912,4401,80.0,51.634,8.188,1962-10-23 00:00:00+01:00,1973-05-03 00:00:00+01:00,"Sassendorf, Bad-Ostinghausen"
2913,4401,81.0,51.6334,8.1872,1973-05-04 00:00:00+01:00,1980-06-30 00:00:00+02:00,"Sassendorf, Bad-Ostinghausen"
2914,1380,19.0,54.8147,9.458,1950-02-12 00:00:00+01:00,1956-12-31 00:00:00+01:00,Flensburg-Mürwik
2915,4505,650.0,50.4988,12.4534,1881-01-01 00:00:00+00:18,1987-01-31 00:00:00+01:00,Schnarrtanne-Vogelsgrün
2916,2465,1.0,53.5099,9.729,1891-05-01 00:00:00+00:18,1972-01-31 00:00:00+01:00,Jork-Moorende
2917,2465,1.0,53.5083,9.7376,1972-02-01 00:00:00+01:00,,Jork-Moorende
2918,19378,505.0,50.8333,10.5833,1957-08-01 00:00:00+01:00,1977-12-31 00:00:00+01:00,Finsterbergen
2919,3167,547.0,50.6621,7.9588,1892-08-01 00:00:00+00:18,1962-11-30 00:00:00+01:00,"Marienberg, Bad"
2920,3167,547.0,50.6621,7.9588,1962-12-01 00:00:00+01:00,2010-05-18 00:00:00+02:00,"Marienberg, Bad"
2921,3167,547.0,50.6621,7.9588,2010-05-19 00:00:00+02:00,2012-07-09 00:00:00+02:00,"Marienberg, Bad"
2922,3167,546.6,50.6621,7.9603,2012-07-10 00:00:00+02:00,,"Marienberg, Bad"
2923,3657,341.0,50.9081,7.5543,1983-05-01 00:00:00+02:00,2021-06-10 00:00:00+02:00,Nümbrecht auf dem Lindchen
2924,6158,454.0,49.2249,10.6085,1999-07-01 00:00:00+02:00,,Weidenbach-Weiherschneidbach
2925,207,144.0,51.75,11.4667,1897-05-01 00:00:00+00:18,1976-07-13 00:00:00+01:00,Aschersleben
