,stations_id,betreibername,betrieb_von_datum,betrieb_bis_datum
84,3904,Wetterdienst,1892-09-01 00:00:00+00:18,1895-06-30 00:00:00+00:18
85,3904,Wetterdienst,1938-02-05 00:00:00+00:00,1939-08-31 00:00:00+01:00
86,3904,Wetterdienst,1941-01-01 00:00:00+02:00,1944-07-31 00:00:00+02:00
87,3904,DWD,1964-04-22 00:00:00+01:00,1992-09-30 00:00:00+01:00
88,3904,DWD,2004-06-14 00:00:00+02:00,
89,7330,DWD,2005-05-15 00:00:00+02:00,
90,1981,Wetterdienst,1943-03-01 00:00:00+01:00,1952-11-10 00:00:00+01:00
91,1981,DWD,1952-11-11 00:00:00+01:00,
92,4036,Meteorologischer Dienst der DDR,1953-06-01 00:00:00+01:00,1990-12-31 00:00:00+01:00
93,4036,DWD,1991-01-01 00:00:00+01:00,
94,7393,DWD,2006-03-01 00:00:00+01:00,
95,6107,DWD,1999-04-14 00:00:00+02:00,
96,4371,Wetterdienst,1931-01-01 00:00:00+00:00,1952-11-10 00:00:00+01:00
97,4371,DWD,1952-11-11 00:00:00+01:00,
98,1262,DWD,1992-05-17 00:00:00+02:00,
99,3591,DWD,1993-11-01 00:00:00+01:00,
100,3340,Wetterdienst,1897-06-01 00:00:00+00:18,1952-11-10 00:00:00+01:00
101,3340,DWD,1952-11-11 00:00:00+01:00,1965-12-03 00:00:00+01:00
102,3340,DWD,2004-11-03 00:00:00+01:00,
103,5745,Wetterdienst,1932-01-22 00:00:00+00:00,1939-03-31 00:00:00+00:00
104,5745,Wetterdienst,1946-06-15 00:00:00+02:00,1949-12-31 00:00:00+01:00
105,5745,Meteorologischer Dienst der DDR,1950-01-01 00:00:00+01:00,1990-12-31 00:00:00+01:00
106,5745,DWD,1991-01-01 00:00:00+01:00,
107,2578,Wetterdienst,1852-09-01 00:00:00+00:18,1949-12-31 00:00:00+01:00
108,2578,Meteorologischer Dienst der DDR,1950-01-01 00:00:00+01:00,1990-12-31 00:00:00+01:00
109,2578,DWD,1991-01-01 00:00:00+01:00,
110,3181,Wetterdienst,1937-11-06 00:00:00+00:00,1952-11-10 00:00:00+01:00
111,3181,DWD,1952-11-11 00:00:00+01:00,2005-07-31 00:00:00+02:00
112,3181,DWD,2018-10-01 00:00:00+02:00,
113,433,Wetterdienst,1928-01-01 00:00:00+00:00,1952-11-10 00:00:00+01:00
114,433,DWD,1952-11-11 00:00:00+01:00,
115,1766,DWD,1982-01-01 00:00:00+01:00,1989-09-30 00:00:00+01:00
116,1766,DWD,1989-10-01 00:00:00+01:00,
117,6158,DWD,1999-07-01 00:00:00+02:00,
118,4466,Wetterdienst,1946-10-01 00:00:00+02:00,1952-11-10 00:00:00+01:00
119,4466,DWD,1952-11-11 00:00:00+01:00,
120,6109,DWD,1998-10-01 00:00:00+02:00,
121,591,Wetterdienst,1888-06-01 00:00:00+00:18,1949-12-31 00:00:00+01:00
122,591,Meteorologischer Dienst der DDR,1950-01-01 00:00:00+01:00,1990-12-31 00:00:00+01:00
123,591,DWD,1991-01-01 00:00:00+01:00,
124,198,Wetterdienst,1882-08-01 00:00:00+00:18,1949-12-31 00:00:00+01:00
125,198,Meteorologischer Dienst der DDR,1950-01-01 00:00:00+01:00,1990-12-31 00:00:00+01:00
126,198,DWD,1991-01-01 00:00:00+01:00,
127,5109,GeophysBdBw,1970-01-01 00:00:00+01:00,2002-12-31 00:00:00+01:00
128,5109,GeoInfoDBw,2003-01-01 00:00:00+01:00,2013-09-30 00:00:00+02:00
129,5109,DWD,2013-10-01 00:00:00+02:00,
130,3307,Wetterdienst,1887-03-01 00:00:00+00:18,1952-11-10 00:00:00+01:00
131,3307,DWD,1952-11-11 00:00:00+01:00,
132,4039,DWD,1974-12-01 00:00:00+01:00,
133,5146,Wetterdienst,1886-11-01 00:00:00+00:18,1952-11-10 00:00:00+01:00
134,5146,DWD,1952-11-11 00:00:00+01:00,1996-08-31 00:00:00+02:00
135,5146,DWD,2003-03-27 00:00:00+01:00,
136,5280,DWD,1981-03-30 00:00:00+02:00,
137,2437,GeophysBdBw,1958-12-01 00:00:00+01:00,2003-03-10 00:00:00+01:00
138,2437,GeoInfoDBw,2003-03-11 00:00:00+01:00,
139,1605,Wetterdienst,1897-05-01 00:00:00+00:18,1949-12-31 00:00:00+01:00
140,1605,Meteorologischer Dienst der DDR,1950-01-01 00:00:00+01:00,1990-12-31 00:00:00+01:00
141,1605,DWD,1991-01-01 00:00:00+01:00,
142,4625,Wetterdienst,1849-02-01 00:00:00+00:18,1949-12-31 00:00:00+01:00
143,4625,Meteorologischer Dienst der DDR,1950-01-01 00:00:00+01:00,1990-10-02 00:00:00+01:00
144,4625,DWD,1990-10-03 00:00:00+01:00,
145,3034,Wetterdienst,1900-06-01 00:00:00+00:18,1960-03-31 00:00:00+01:00
146,3034,Meteorologischer Dienst der DDR,1961-04-01 00:00:00+01:00,1990-12-31 00:00:00+01:00
147,3034,DWD,1991-01-01 00:00:00+01:00,
148,7369,DWD,2005-11-01 00:00:00+01:00,
149,3667,Wetterdienst,1948-01-01 00:00:00+01:00,1952-11-10 00:00:00+01:00
150,3667,DWD,1952-11-11 00:00:00+01:00,1957-12-31 00:00:00+01:00
151,3667,DWD,1974-09-01 00:00:00+01:00,1999-10-17 00:00:00+02:00
152,3667,DWD,2000-09-01 00:00:00+02:00,
153,5906,Wetterdienst,1758-01-01 00:00:00+00:18,1792-12-31 00:00:00+00:18
154,5906,Wetterdienst,1821-06-01 00:00:00+00:18,1827-06-24 00:00:00+00:18
155,5906,Wetterdienst,1841-01-01 00:00:00+00:18,1943-09-30 00:00:00+02:00
156,5906,Wetterdienst,1946-08-01 00:00:00+02:00,1952-11-10 00:00:00+01:00
157,5906,DWD,1952-11-11 00:00:00+01:00,
158,891,Wetterdienst,1868-04-01 00:00:00+00:18,1952-11-10 00:00:00+01:00
159,891,DWD,1952-11-11 00:00:00+01:00,
160,2708,DWD,1991-08-01 00:00:00+02:00,
161,4947,DWD,1988-08-17 00:00:00+02:00,1999-07-27 00:00:00+02:00
162,4947,DWD,2000-08-28 00:00:00+02:00,
163,3158,Meteorologischer Dienst der DDR,1966-01-01 00:00:00+01:00,1974-12-31 00:00:00+01:00
164,3158,Meteorologischer Dienst der DDR,1985-01-01 00:00:00+01:00,1990-12-31 00:00:00+01:00
165,3158,DWD,1991-01-01 00:00:00+01:00,
166,7431,DWD,2006-09-01 00:00:00+02:00,
167,7343,DWD,2005-06-01 00:00:00+02:00,
168,5480,Wetterdienst,1939-03-01 00:00:00+00:00,1944-12-31 00:00:00+01:00
169,5480,GeophysBdBw,1945-01-01 00:00:00+01:00,1974-12-31 00:00:00+01:00
170,5480,DWD,1975-01-01 00:00:00+01:00,1994-12-31 00:00:00+01:00
171,5480,DWD,2003-09-10 00:00:00+02:00,
172,7298,DWD,2004-11-10 00:00:00+01:00,
173,4745,Wetterdienst,1925-01-01 00:00:00+00:00,1952-11-10 00:00:00+01:00
174,4745,DWD,1952-11-11 00:00:00+01:00,
175,7351,DWD,2005-09-01 00:00:00+02:00,
176,6196,DWD,2000-09-01 00:00:00+02:00,2001-11-30 00:00:00+01:00
177,6196,DWD,2011-04-07 00:00:00+02:00,
178,3426,Wetterdienst,1887-07-01 00:00:00+00:18,1949-12-31 00:00:00+01:00
179,3426,Meteorologischer Dienst der DDR,1950-01-01 00:00:00+01:00,1990-12-31 00:00:00+01:00
180,3426,DWD,1994-12-20 00:00:00+01:00,
181,4548,Wetterdienst,1909-07-16 00:00:00+00:00,1952-11-10 00:00:00+01:00
182,4548,DWD,1952-11-11 00:00:00+01:00,1957-10-31 00:00:00+01:00
183,4548,DWD,1958-02-01 00:00:00+01:00,2005-12-31 00:00:00+01:00
184,4548,DWD,2007-04-24 00:00:00+02:00,
185,2712,Wetterdienst,1937-02-01 00:00:00+00:00,1952-11-10 00:00:00+01:00
186,2712,DWD,1952-11-11 00:00:00+01:00,
187,3660,DWD,1995-03-01 00:00:00+01:00,
188,6102,DWD,1999-03-16 00:00:00+01:00,
189,13901,DWD,1979-01-01 00:00:00+01:00,
190,2856,Wetterdienst,1899-06-01 00:00:00+00:18,1949-12-31 00:00:00+01:00
191,2856,Meteorologischer Dienst der DDR,1950-01-01 00:00:00+01:00,1990-12-31 00:00:00+01:00
192,2856,DWD,1991-01-01 00:00:00+01:00,
193,3631,Wetterdienst,1858-03-01 00:00:00+00:18,1870-01-31 00:00:00+00:18
194,3631,Wetterdienst,1897-09-01 00:00:00+00:18,1952-11-10 00:00:00+01:00
195,3631,DWD,1952-11-11 00:00:00+01:00,
196,2638,DWD,1946-03-01 00:00:00+01:00,
197,1303,Wetterdienst,1897-08-01 00:00:00+00:18,1952-11-10 00:00:00+01:00
198,1303,DWD,1952-11-11 00:00:00+01:00,
199,963,Wetterdienst,1938-04-01 00:00:00+01:00,1952-11-10 00:00:00+01:00
200,963,DWD,1952-11-11 00:00:00+01:00,1993-12-31 00:00:00+01:00
